RESOLUTION:3120,2080
1753619469.211,387,1637
1753619469.226,387,1636
1753619469.226,388,1636
1753619469.257,388,1635
1753619469.273,389,1635
1753619469.288,390,1635
1753619469.32,390,1634
1753619469.351,390,1633
1753619469.367,391,1633
1753619469.367,391,1631
1753619469.382,392,1630
1753619469.382,393,1629
1753619469.398,394,1628
1753619469.398,396,1627
1753619469.413,398,1626
1753619469.429,398,1624
1753619469.429,401,1623
1753619469.429,402,1622
1753619469.445,403,1621
1753619469.445,404,1620
1753619469.46,404,1619
1753619469.46,405,1619
1753619469.481,406,1617
1753619469.492,407,1616
1753619469.509,407,1615
1753619469.523,409,1614
1753619469.523,410,1614
1753619469.539,410,1613
1753619469.539,411,1612
1753619469.555,412,1611
1753619469.57,413,1610
1753619469.586,413,1608
1753619469.617,414,1608
1753619469.633,414,1607
1753619469.633,414,1606
1753619469.648,415,1606
1753619469.664,415,1605
1753619469.664,417,1605
1753619469.68,417,1604
1753619469.68,417,1603
1753619469.695,418,1603
1753619469.711,418,1602
1753619469.726,419,1600
1753619469.743,420,1599
1753619469.754,420,1598
1753619469.758,421,1598
1753619469.758,421,1597
1753619469.758,421,1596
1753619469.774,422,1596
1753619469.79,423,1595
1753619469.79,423,1594
1753619469.79,423,1592
1753619469.805,425,1592
1753619469.805,425,1591
1753619469.821,426,1590
1753619469.836,426,1589
1753619469.852,426,1588
1753619469.868,427,1587
1753619469.868,427,1586
1753619469.887,428,1586
1753619469.887,429,1584
1753619469.899,429,1583
1753619469.899,430,1582
1753619469.916,431,1581
1753619469.93,432,1580
1753619469.93,434,1579
1753619469.946,434,1578
1753619469.961,435,1578
1753619469.961,435,1577
1753619469.993,436,1575
1753619469.995,437,1574
1753619470.009,438,1574
1753619470.009,438,1573
1753619470.025,438,1572
1753619470.025,439,1571
1753619470.058,440,1571
1753619470.072,440,1570
1753619470.072,442,1570
1753619470.092,442,1569
1753619470.119,442,1567
1753619470.166,442,1566
1753619470.182,443,1565
1753619470.198,443,1564
1753619470.199,444,1564
1753619470.199,444,1563
1753619470.213,445,1562
1753619470.235,445,1561
1753619470.244,446,1561
1753619470.26,446,1559
1753619470.276,447,1559
1753619470.276,447,1558
1753619470.295,448,1557
1753619470.308,448,1556
1753619470.324,450,1555
1753619470.326,450,1554
1753619470.339,451,1554
1753619470.341,451,1553
1753619470.359,451,1551
1753619470.371,452,1550
1753619470.4,452,1549
1753619470.436,453,1549
1753619470.468,453,1548
1753619470.481,454,1548
1753619470.57,455,1547
1753619470.575,456,1546
1753619470.592,456,1545
1753619470.592,458,1545
1753619470.607,458,1544
1753619470.622,459,1542
1753619470.669,460,1542
1753619470.7,461,1541
1753619470.716,461,1540
1753619470.716,462,1540
1753619470.747,462,1539
1753619470.763,463,1539
1753619470.779,464,1538
1753619470.795,465,1537
1753619470.795,467,1537
1753619470.812,468,1536
1753619470.812,469,1534
1753619470.826,470,1533
1753619470.826,471,1532
1753619470.842,472,1532
1753619470.842,473,1531
1753619470.857,473,1530
1753619470.857,475,1529
1753619470.873,476,1529
1753619470.904,477,1529
1753619470.904,477,1528
1753619470.955,478,1528
1753619470.955,478,1526
1753619470.967,479,1526
1753619470.983,480,1526
1753619471.061,481,1526
1753619471.077,483,1526
1753619471.124,484,1526
1753619471.127,485,1526
1753619471.14,486,1526
1753619471.157,487,1526
1753619471.157,488,1526
1753619471.171,489,1526
1753619471.187,491,1526
1753619471.188,492,1526
1753619471.195,493,1526
1753619471.203,495,1525
1753619471.218,496,1525
1753619471.234,498,1524
1753619471.234,499,1524
1753619471.25,500,1524
1753619471.25,501,1524
1753619471.265,502,1524
1753619471.281,503,1524
1753619471.281,504,1524
1753619471.308,506,1524
1753619471.313,507,1524
1753619471.321,508,1523
1753619471.329,509,1523
1753619471.346,510,1523
1753619471.346,511,1523
1753619471.36,512,1523
1753619471.376,514,1523
1753619471.376,515,1523
1753619471.393,516,1523
1753619471.408,517,1523
1753619471.423,518,1523
1753619471.439,519,1523
1753619471.454,520,1523
1753619471.47,521,1523
1753619471.47,523,1522
1753619471.486,524,1522
1753619471.501,525,1522
1753619471.517,526,1522
1753619471.517,527,1521
1753619471.517,528,1521
1753619471.517,529,1521
1753619471.533,531,1520
1753619471.533,532,1520
1753619471.548,533,1520
1753619471.548,534,1520
1753619471.564,535,1520
1753619471.595,536,1520
1753619471.626,537,1520
